link,sentence_number,article_number,text,title
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_1,1,"Merespons perbincangan hangat tentang consent di dalam Peraturan Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi Nomor 30/2021, saya ingin meluruskan pandangan-pandangan yang tidak tepat terkait consent, khususnya dari perspektif hukum pidana yang menjadi landasan pengaturan kekerasan seksual.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_2,1,"Dari perspektif hukum pidana, konsep ”persetujuan” atau ”izin” merupakan salah satu prinsip penting yang menjadi dasar untuk mengategorikan apakah sebuah perbuatan adalah perbuatan pidana atau tidak, tetapi bukan satu-satunya prinsip.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_3,1,"Ada beberapa ukuran yang dikembangkan terkait dengan mengapa sebuah perbuatan dijadikan sebuah perbuatan pidana, antara lain suatu perbuatan mendatangkan kesengsaraan terhadap orang lain dengan beragam tindakan. Namun, tidak semua kerugian, penderitaan, ataupun kerusakan yang terjadi dapat dipidana karena ada satu asas bahwa ”kerelaan atau persetujuan menghapuskan elemen perbuatan pidana”.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_4,1,"Apa yang dimaksud dengan kerelaan? Kerelaan adalah perbuatan yang dilakukan tanpa ada paksaan ataupun perbuatan yang dampaknya dikehendaki oleh kedua belah pihak, termasuk perbuatan yang telah disepakati dilakukan oleh seseorang kepada orang lain.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_5,1,"
    Pemukulan dan perbuatan lain yang dapat mencederai tubuh tidak dianggap sebagai penganiayaan.
  ",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_6,1,"Beberapa ahli hukum pidana memberikan contoh dalam kasus-kasus apa saja konsepsi kerelaan atau persetujuan ini menjadi penting (lihat Hiariej, 2016). Adalah pertarungan, misalnya, di mana kedua belah pihak telah bersepakat beradu tanding. Pemukulan dan perbuatan lain yang dapat mencederai tubuh tidak dianggap sebagai penganiayaan.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_7,1,"Contoh lain, pencurian yang dilakukan di dalam keluarga itu sendiri. Seseorang mengambil harta benda dari anggota keluarganya sendiri dan si anggota keluarga tidak keberatan dengan harta benda yang diambil. Maka, pencurian itu hilang karakternya sebagai perbuatan pidana dan karena itu tidak dapat dituntut sebagai perbuatan pidana.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_8,1,"Konsep persetujuan atau kerelaan ini berhubungan dengan konsep tanpa paksaan; sementara konsepsi tanpa izin, ketidakrelaan, ataupun ketidaksetujuan berhubungan dengan paksaan. Di dalam pasal-pasal KUHP, misalnya Pasal 285 KUHP yang menekankan adanya ”memaksa melakukan persetubuhan” yang dikategorikan sebagai pemerkosaan yang dapat dijatuhi pidana.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_9,1,"”Barang siapa dengan kekerasan atau ancaman kekerasan memaksa seorang wanita bersetubuh dengan dia di luar perkawinan, diancam karena melakukan pemerkosaan dengan pidana penjara paling lama dua belas tahun”. Dalam hal ini, unsur paksaan menjadi penting dibuktikan sehingga dapat disebutkan sebagai pemerkosaan. Paksaan dalam hal ini adalah sesuatu yang tidak dikehendaki terjadi pada diri si perempuan itu.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_10,1,Baca juga : Kekerasan Seksual pada Anak di Padang Tanda Terjadinya Krisis Keluarga  ,konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_11,1,"Namun, konsepsi persetujuan atau tanpa persetujuan tidak absolut digunakan sebagai unsur yang harus dibuktikan di dalam sebuah perbuatan pidana mengingat dalam sistem hukum pidana di Indonesia berlaku asas legalitas; setiap unsur harus dibuktikan jika unsur tersebut tertera secara eksplisit di dalam pasal.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_12,1,"Kondisi di mana konsepsi izin tidak dibutuhkan, misalnya dalam pengaturan Pasal 288 tentang persetubuhan dengan anak. Pasal 288 (1) menyebutkan, ”Barang siapa dalam perkawinan bersetubuh dengan seorang wanita yang diketahuinya atau sepatutnya harus diduganya bahwa yang bersangkutan belum waktunya untuk dikawin….”",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_13,1,"Hal senada dapat dilihat pada Pasal 290: ”Diancam dengan pidana penjara paling lama tujuh tahun: 1) barang siapa melakukan perbuatan cabul dengan seorang, padahal diketahuinya bahwa orang itu pingsan atau tidak berdaya; 2) barang siapa melakukan perbuatan cabul dengan seorang, padahal diketahuinya atau sepatutnya harus diduganya bahwa umurnya belum lima belas tahun atau kalau umurnya tidak jelas, yang bersangkutan belum waktunya untuk dikawin: 3) barang siapa membujuk seseorang yang diketahuinya atau sepatutnya harus diduganya bahwa umurnya belum lima belas tahun atau kalau umumya tidak jelas yang bersangkutan atau belum waktunya untuk dikawin, untuk melakukan atau membiarkan dilakukan perbuatan cabul, atau bersetubuh di luar perkawinan dengan orang lain”.",konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_14,1,Di dalam Pasal 288 dan 290 di atas konsepsi ”tanpa persetujuan” tidak menjadi titik tekan adanya perbuatan yang dapat dihukum. Pada Pasal 290 Poin 1 adalah orang yang melakukan persetubuhan dengan seseorang yang dalam keadaan tidak berdaya dan pingsan.,konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_15,1,Tidaklah dapat seseorang yang tidak berdaya dan pingsan memberikan persetujuan sehingga keadaan pingsan dan tidak berdaya sudah masuk dalam konteks ketidaksetujuan yang sebenar-benarnya.,konsep persetujuan dalam kekerasan seksual
https://www.kompas.id/baca/opini/2021/11/23/konsep-persetujuan-dalam-kekerasan-seksual,kalimat_16,1,"Dalam Pasal 288 dapat disebutkan sebagai pasal ”persetubuhan dengan anak yang belum layak dinikahi”, sementara Pasal 290 Poin 2 terhadap anak yang berusia di bawah 15 tahun adalah sebuah perbuatan pidana yang dapat dituntut pidana dan dihukum. Pasal 290 Poin 3 membahas tentang bujuk rayu terhadap anak untuk melakukan persetubuhan.",konsep persetujuan dalam kekerasan seksual
